dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,6,0.9999511242,0.9982936918,0.9985372483,0.9880645216,0.8508818141,0.8577824684,centroids
sample_100_dim_1200,6,0.9999977174,0.9987568418,0.9987597116,0.9932390063,0.628360214,0.6297625461,centroids
sample_100_dim_1200,8,0.9999709271,0.9996873606,0.999719375,0.9787726996,0.9584842112,0.9768219344,centroids
sample_100_dim_1200,8,0.9999308439,0.9999006883,0.9999455153,0.9525490284,0.9862810715,0.9656995997,centroids
sample_100_dim_1200,8,0.9999934997,0.9991290251,0.9991493866,0.9876665418,0.7736069923,0.784147528,centroids
sample_100_dim_1200,8,0.9999861769,0.9985324004,0.9986533044,0.9957361744,0.5734235429,0.5728728829,centroids
sample_100_dim_1200,8,0.9999714643,0.9949273971,0.9952781167,0.9949229786,0.6050610035,0.6107955346,centroids
sample_100_dim_1200,8,0.9999953263,0.9998723509,0.9998851489,0.9898037159,0.9833549429,0.9938127705,centroids
sample_100_dim_1200,8,0.9999900291,0.9998200049,0.9998444695,0.9869220095,0.9774937915,0.9909251109,centroids
sample_100_dim_1200,8,0.9999210047,0.9984118096,0.9986647443,0.9839674732,0.9020506869,0.9176408463,centroids
sample_100_dim_1200,8,0.9999596468,0.9986458071,0.9987979484,0.9865319682,0.8323187394,0.8401088255,centroids
sample_100_dim_1200,8,0.9999952149,0.9993666453,0.9993817684,0.9908850815,0.9136319531,0.9258540611,centroids
sample_100_dim_1200,8,0.9999936076,0.9996506469,0.9996407009,0.9978872243,0.954306081,0.9547500203,centroids
sample_100_dim_1200,8,0.9999507855,0.9972512967,0.9974899011,0.9862960236,0.6099024939,0.6104818545,centroids
sample_100_dim_1200,8,0.9999669141,0.9988654669,0.9990274259,0.9967087301,0.8994398821,0.9015611942,centroids
sample_100_dim_1200,8,0.9999528739,0.9936578783,0.9940677465,0.9862678887,0.7578630615,0.7465351438,centroids
sample_100_dim_1200,10,0.999994055,0.9995303409,0.9995406746,0.9940884448,0.9324554949,0.9436653578,centroids
